either	256 272
you	67112 664
flat	54 69
or	2652 3903
am	1798 860
beg	82 5
your	9801 188
pardon	99 8
excuse	516 6
me	15163 376
always	1054 159
the	47347 118682
lady	348 154
say	2680 159
what	15871 581
why	3398 102
frighten	14 2
hiccup	4 0
away	1215 350
marthy	33 0
yes	3437 31
did	6040 810
and	22891 48700
going	3225 184
to	35635 33869
hit	446 224
see	4120 586
here	7539 198
if	5267 737
soak	3 2
in	16070 47391
eye	196 125
again	1286 542
gon	3350 13
na	4103 63
quit	93 26
get	7304 299
no	10194 1500
only	1860 1795
on	11118 13777
back	3255 776
this	12183 4436
time	2978 2274
well	4930 1026
think	4286 103
lose	253 49
them	2956 1139
oh	5818 26
got	6206 209
it	29749 8312
ten	220 268
swallows	3 3
of	18996 59005
without	548 439
breathing	47 3
sure	1685 29
cure	32 37
one	4942 3472
two	1738 2616
three	824 1321
four	454 888
five	493 577
maybe	1259 12
too	2144 231
told	1099 147
never	2266 358
fails	10 14
we	14683 472
go	6267 319
johnny	363 37
harp	4 37
for	10820 14150
some	2649 1550
more	2041 1742
whiskey	40 7
yeah	4930 13
right	6336 367
are	9321 4847
bone	30 33
dry	60 52
wait	1294 40
my	10381 417
bonnet	4 3
together	639 400
once	594 401
hold	735 123
that	22396 9650
will	3722 1005
not	9290 3139
sorry	1891 10
took	557 654
darn	21 0
glad	281 2
found	585 763
norfolk	3 40
aye	88 0
been	2827 2504
old	1259 556
walking	107 60
streets	55 63
but	6906 3112
had	2970 3879
better	1238 296
stay	932 92
with	7823 12102
chris	74 116
barge	23 3
honest	136 14
be	8910 4138
dump	42 3
good	4188 360
punk	57 43
come	5546 254
where	3205 1571
boat	175 96
huh	964 1
forgot	141 2
front	288 335
door	405 81
was	10332 19575
all	8432 2214
hand	436 191
declare	21 20
how	4575 358
can	5802 1447
do	19612 661
thing	1708 102
like	6616 735
minute	578 36
now	5303 916
nothing	1339 105
look	3157 104
out	6041 1645
being	706 1196
tightrope	1 1
walker	62 90
there	6998 1946
down	2504 546
drink	499 29
hon	62 87
horses	93 55
fool	123 7
thought	1216 175
lost	463 396
just	7476 550
an	2730 6531
doors	79 27
stopped	114 71
funny	355 12
entrance	24 56
listen	850 20
let	3766 123
ladies	240 33
said	1873 636
she	5569 2690
dignity	15 9
world	877 1568
have	10150 2674
larry	48 65
drinks	53 9
house	936 962
yourself	745 9
money	1196 220
plenty	108 17
speak	298 73
devil	104 32
talking	763 40
about	5400 1370
hello	1022 9
put	1317 247
give	1969 209
us	2969 1187
half	341 273
snootful	1 0
little	2206 331
drunk	132 32
much	1571 507
feel	984 81
josephine	9 9
board	100 355
ship	138 395
long	1144 587
moon	117 104
shines	16 2
looks	454 51
same	689 886
eh	169 0
nt	21167 448
know	9160 142
song	140 840
when	3428 2273
hear	970 34
italian	61 258
fellow	88 141
other	1164 2344
he	12368 9985
learn	214 43
skoal	7 0
hearty	3 0
order	209 620
ta	867 22
make	2032 492
slow	107 41
voyage	16 50
dirty	129 34
weather	45 89
fog	37 17
forget	420 17
matter	606 106
keep	1138 119
standing	109 89
night	1360 282
talk	1206 69
take	3046 433
scoop	18 5
lager	5 1
ale	13 1
chaser	3 2
bring	520 106
by	2095 12460
way	2387 552
letter	149 149
from	3297 8963
st	69 708
paul	117 298
minnesota	6 90
writing	78 237
then	2627 1483
must	1258 259
daughter	244 354
anna	138 62
living	250 406
year	416 1456
fine	862 97
fairy	24 29
tale	25 38
bet	272 14
golly	14 0
read	327 89
sit	474 18
backroom	2 1
stiff	19 9
sweetheart	93 0
news	253 296
jiminy	9 9
coming	865 122
sick	316 16
job	637 130
saying	459 144
short	162 345
tell	2805 81
than	1245 1230
fella	77 0
since	440 1069
girl	915 163
sweden	10 121
seen	657 286
her	4228 2901
years	1075 1734
live	622 559
farm	65 170
sea	140 323
father	1038 580
marry	188 36
sailor	26 17
herself	99 92
likely	27 121
blood	288 130
trying	630 87
spill	16 4
suds	2 0
up	5728 1577
ai	779 30
mother	797 311
soon	380 261
suppose	258 3
hang	239 14
around	1070 701
nut	24 2
squarehead	3 0
wan	744 16
rid	96 12
because	1679 732
kid	596 38
kick	115 35
swede	1 1
man	3140 620
enough	840 168
start	502 262
ca	2661 126
finish	179 108
scream	35 8
honestly	72 1
knockout	4 36
laugh	112 10
at	5148 9295
slant	3 4
mirror	50 52
gee	52 17
owens	4 14
onto	73 79
game	341 951
born	155 1753
dragged	14 10
waterfront	1 12
trouble	354 44
packing	13 8
duds	4 0
quitting	6 3
guys	996 15
boats	14 45
waiting	349 48
so	6715 880
cheer	25 8
before	1304 1277
gets	335 95
riddance	4 0
both	468 1193
cut	400 144
bull	27 46
square	44 253
fiftyfifty	1 0
nobody	453 7
owes	12 2
they	7174 2872
sore	22 2
still	1262 686
friends	508 182
blow	162 20
another	757 733
health	53 354
help	1451 264
celebrate	46 28
home	1132 782
strong	141 195
pretty	510 39
everything	1096 57
someday	45 2
steady	52 15
land	169 514
east	75 712
own	785 656
kids	403 46
grandfather	48 47
cricket	12 112
soused	1 0
ears	39 16
sober	24 4
does	1861 351
throw	179 24
beef	39 6
stew	14 6
corner	73 73
ginger	48 5
side	300 480
stingy	2 0
baby	882 100
shall	333 41
serve	58 121
pail	1 0
suits	33 13
ground	100 261
needed	158 109
bad	848 134
bat	32 38
traveling	28 45
day	1239 794
train	207 165
coach	37 238
laughing	125 11
thinking	459 44
something	2287 121
else	686 31
would	3544 1607
blame	96 10
guess	583 4
rotten	41 18
hospital	189 382
weeks	235 187
thanks	881 59
service	90 757
please	1973 37
over	2002 1674
dead	730 220
stranger	38 11
burg	1 1
luck	281 18
smoke	121 27
wo	952 22
someone	648 96
anything	1396 51
wrong	747 34
looking	596 99
hard	491 123
very	2305 651
number	330 993
room	737 185
is	1628 116
yours	339 5
straight	234 67
kiddo	12 0
scrapping	1 0
want	4185 92
feelings	62 28
shake	45 2
kind	899 118
easy	445 51
stuff	392 24
meet	549 126
him	5447 1597
even	1329 533
gave	366 309
write	212 69
used	581 1506
janitor	7 2
building	146 548
seeing	191 45
done	855 175
life	1336 1046
might	768 163
willing	79 33
stake	34 15
eats	18 7
until	434 1055
could	2937 731
rest	378 197
expecting	63 5
men	604 581
turn	474 214
off	1893 581
who	3784 3193
christopherson	2 1
his	3187 8259
full	264 331
name	950 1194
real	701 240
call	1234 139
myself	471 16
christie	3 11
as	3636 13567
guy	1061 84
ever	1203 238
walked	97 26
feet	155 105
goes	367 138
after	1179 3194
surest	1 0
idea	554 170
wrote	126 340
himself	256 389
lying	134 18
captain	230 212
coal	18 61
mostly	41 185
swell	22 1
find	1262 210
longlost	1 3
working	343 322
puts	29 26
kibosh	1 0
giving	152 118
comes	377 179
bringing	75 56
inland	10 22
safe	244 45
tells	88 112
people	1950 1121
nerve	26 6
cousins	8 22
work	1143 1034
death	339 614
dog	325 80
fall	170 188
should	1786 325
slave	19 56
till	260 224
died	237 617
poor	189 113
relation	9 43
treated	29 57
worse	160 31
dared	7 1
treat	88 30
hired	51 71
swedes	1 9
womanhungry	1 0
alone	529 190
sons	27 109
came	856 457
hated	34 11
kill	790 125
stayed	66 73
ran	124 178
overheard	9 3
went	728 458
fault	228 26
judge	105 178
girls	365 161
days	538 456
others	191 346
seem	213 41
mind	758 107
cooler	8 6
stand	332 97
nuts	105 11
caged	5 0
nowhere	68 12
send	296 54
nice	1025 19
leave	1080 156
hate	270 17
every	936 472
son	659 605
ones	163 86
show	778 747
simple	174 128
nutty	9 2
notions	4 4
thinks	149 29
nurse	47 41
means	335 277
kidding	194 0
rested	4 6
clear	251 136
grub	9 0
taste	64 23
tramp	13 9
brace	5 2
pack	79 27
beat	198 102
later	441 1522
while	515 1385
ago	491 49
lilla	4 1
awful	111 5
trip	146 80
getting	714 84
finding	46 44
place	1064 846
new	1098 3571
york	202 897
though	332 415
tired	169 9
having	435 470
felt	214 126
able	228 314
really	2258 99
happen	364 26
young	415 490
girlies	2 0
nogood	8 0
need	1976 170
lie	191 37
onboard	6 4
mean	1959 73
nix	2 3
mine	395 53
tug	14 13
tow	8 4
water	334 558
sunshine	21 26
fresh	99 49
air	230 668
healthy	41 17
already	447 211
vacation	79 10
sounds	185 39
chance	460 73
america	175 388
second	401 1284
thirsty	16 1
fancy	72 3
sarsaparilla	4 0
many	650 1471
port	24 158
wine	105 35
neither	99 64
glass	71 103
head	596 383
promise	273 49
blond	11 4
peach	11 5
small	235 596
beer	113 23
reforming	1 3
swedish	5 153
word	419 160
bridge	93 224
gives	109 113
creeps	9 1
great	1246 515
big	1046 272
spiderweb	1 0
awfully	43 0
those	1172 610
buildings	27 205
open	539 346
eyes	380 101
scares	7 1
high	240 1020
ants	13 2
woolworth	2 0
love	1856 517
harm	44 34
west	94 887
die	493 102
end	535 824
spend	141 37
most	628 1606
crazy	433 40
fools	23 7
tricks	18 17
tough	139 24
forgive	149 5
okay	3551 7
try	798 71
change	374 271
lot	893 105
week	414 274
bells	22 26
six	284 392
oclock	60 11
lingo	2 2
belong	57 32
sailing	29 46
rats	24 31
our	2207 218
family	616 1053
sailors	9 22
brothers	53 181
buried	56 91
sailboat	3 2
drowned	14 14
sooner	56 3
swallow	26 15
beefing	1 0
scared	213 6
hurt	386 19
were	2951 5221
overboard	7 6
sentiment	6 12
pa	131 24
fix	193 12
toddy	1 0
pull	250 25
boots	36 7
first	1308 3948
cry	86 23
sob	6 0
heave	5 0
late	433 535
makes	415 141
things	1150 124
altogether	14 16
worst	97 32
sort	265 43
strange	166 35
tonight	542 24
visit	109 111
someplace	41 0
forgotten	69 19
happened	787 55
anymore	282 10
base	63 263
happy	559 101
sell	172 63
sometime	50 21
along	326 637
married	440 454
picture	236 91
somehow	80 11
natural	72 230
loving	44 28
act	189 307
god	1702 234
preachers	1 3
ahoy	10 0
scare	43 2
course	840 254
sound	197 236
rope	33 8
alongside	9 106
scut	2 0
belongs	48 50
johnson	33 132
cabin	32 30
fellas	88 0
sir	1588 250
doing	1606 85
couple	361 107
